"","yieldRapeseed","pollination"
"1333052",1.3400000333786,82.279474806437
"1333053",1.3400000333786,83.1869979963006
"1333054",1.3400000333786,86.6897874915357
"1333056",1.3400000333786,87.9018282403974
"1333057",1.3400000333786,90.0586460024864
"1337339",1.3400000333786,80.7169147041526
"1337340",1.3400000333786,83.3656127649053
"1337341",1.3400000333786,89.8048798784513
"1337342",1.3400000333786,81.0818906686013
"1337347",1.3400000333786,84.537186510024
"1337348",1.3400000333786,79.5085975982935
"1337349",1.3400000333786,80.4836538186837
"1337350",1.3400000333786,79.4037881989841
"1337351",1.3400000333786,78.5967804642413
"1337352",1.3400000333786,78.9381245342341
"1337353",1.3400000333786,78.0209431277463
"1337356",1.3400000333786,81.1722102802274
"1337357",1.3400000333786,80.677948245501
"1337358",1.3400000333786,81.3872443849824
"1337359",1.3400000333786,79.7064048821897
"1337360",1.3400000333786,83.7026640670683
"1337361",1.3400000333786,88.0166333488519
"1337363",1.3400000333786,88.0489168829842
"1337364",1.3400000333786,85.6150352445293
"1337379",1.3400000333786,87.6747373014835
"1341657",1.3400000333786,88.6395573103884
"1341659",1.3400000333786,88.1385717485473
"1341662",1.3400000333786,82.9450667636099
"1341663",1.3400000333786,77.5462846524145
"1341664",1.3400000333786,84.2680822275339
"1341665",1.3400000333786,81.8583311794716
"1341666",1.3400000333786,83.7608222654796
"1341667",1.3400000333786,81.0380946449833
"1341668",1.3400000333786,74.7165369389216
"1341669",1.3400000333786,79.3477839885619
"1341671",1.3400000333786,79.6982857283469
"1341672",1.3400000333786,76.0732834735634
"1341673",1.3400000333786,80.1291294599161
"1341678",1.3400000333786,77.0896968188828
"1341681",1.3400000333786,74.8489676918075
"1341684",1.3400000333786,80.7724504243998
"1341693",1.3400000333786,89.0671756790259
"1345976",1.3400000333786,82.5991897999231
"1345977",1.3400000333786,82.7113075925241
"1345978",1.3400000333786,78.1412820781855
"1345979",1.3400000333786,74.2305192518568
"1345981",1.3400000333786,86.7597292651186
"1345984",1.3400000333786,78.3971880214185
"1345986",1.3400000333786,81.2191323221249
